Data_ID,Country_Code,Year,Country,Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha,GDP,Mortalilty,Fertility,Population,Prevalence_of_overweight_among_children_aged_2_to_4_years,Maternal_mortality_ratio_aged_15_49_years_per_100000_live_births,Proportion_of_births_attended_by_skilled_health_personnel,Under_5_mortality_rate_probability_of_dying_per_1000_live_births,Probability_of_Neonatal_mortality_rate_per_1000_live_births,Age_standardized_death_rate_due_air_pollution_per_100000,Age_standardized_death_rate_due_unsafe_water_per_100000,Age_standardized_prevalence_of_daily_smoking_aged_10&Above,Adjusted savings: natural resources depletion_percentage_of_GNI,Total_natural_resources_rents_percentage_of_GDP,Improved_water_source_percentage_of_population_with_access,Trade_Import,Trade_Export,Total_Violent_fatalities,Latitude,Longitude
1,AFG,1961,Afghanistan,3704528,4951700,1472038,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
2,AFG,1962,Afghanistan,3831256,5028056,1518414,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
3,AFG,1963,Afghanistan,3864108,4801825,1516321,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
4,AFG,1964,Afghanistan,3894008,5184600,1560220,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
5,AFG,1965,Afghanistan,3864739,5335700,1662188,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
6,AFG,1966,Afghanistan,3844300,5087600,1680926,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
7,AFG,1967,Afghanistan,3523200,5624290,1825190,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
8,AFG,1968,Afghanistan,3442800,5748100,1877911,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
9,AFG,1969,Afghanistan,3486600,5936600,1844092,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93911,67.70995
10,AFG,1970,Afghanistan,3583000,5299700,1753634,157.1874225,14.993,7.45,11126,0,0,0,0,0,0,0,0,0.081299245,0.285092593,0,0,0,0,33.93911,67.70995
11,AFG,1971,Afghanistan,3803300,5001000,1572209,160.3728365,14.616,7.45,11418,0,0,0,0,0,0,0,0,0.105942383,0.344531632,0,0,0,0,33.93911,67.70995
